question,answer,A,B,C,D,Category,Human Accuracy
한글 Windows 98 시작메뉴의 [설정]-[제어판]-[마우스]를 선택하여 마우스 등록정보 창에서 설정할 수 없는 것은?,4,왼손잡이를 위한 마우스 단추 설정을 할 수 있다.,마우스 포인터의 모양을 변경할 수 있다.,마우스 포인터의 동작 속도를 변경할 수 있다.,마우스를 연결하는 포트를 바꿀 수 있다.,Information Technology,0.0
한글 Windows 98의 탐색기에 폴더의 내용을 웹 페이지 형식으로 보고자 할 때 사용하는 메뉴는?,4,[파일],[편집],[도구],[보기],Information Technology,0.0
한글 Windows 98에서 도움말을 사용하기 위한 단축키는?,1,[F1],[F2],[F3],[F4],Information Technology,1.0
한글 Windows 98 운영체제를 새로이 설치했을 때 바탕화면에 기본적으로 표시되는 아이콘이 아닌 것은?,2,내 컴퓨터,메모장,휴지통,내 서류가방,Information Technology,0.0
한글 Windows 98의 탐색기에서 사용할 수 없는 기능은?,3,드라이브 포맷,파일 복사 및 삭제,현재 사용자 로그오프,휴지통 내용 확인,Information Technology,0.0
한글 Windows 98의 [제어판]-[프로그램 추가/제거]의 등록정보창에서 할 수 없는 것은?,2,프로그램 설치,프로그램 파일 백업,Windows 구성요소 설치,시동디스크 작성,Information Technology,0.0
한글 Windows 98의 시작 메뉴에 대한 설명으로 옳지 않은 것은?,4,"프로그램 : 메모장, 그림판 등과 같은 각종 프로그램을 실행","설정 : 제어판, 프린터, 작업 표시줄 등에 대한 옵션을 실행",문서 : 최근에 사용한 문서의 실행,인터넷 : 자주 사용하는 Web Page의 실행,Information Technology,0.0
"문단의 형태(글꼴, 크기, 문단 형태)를 쉽게 선택할 수 있을 뿐만 아니라 문서에 대하여 일관성 있는 문단을 유지하면서 편집 작업을 하는데 가장 유용한 기능은?",2,매크로 기능,스타일,상용구,각주,Information Technology,0.0
한글 Windows 98을 종료하려고 할 때 나타나는 시스템 종료 대화상자의 선택항목이 아닌 것은?,3,시스템 종료(S),시스템 다시 시작(R),인터넷 사용을 위한 다시 시작(I),MS-DOS 모드에서 시스템 다시 시작(M),Information Technology,0.0
PC가 비정상적으로 작동될 때 시스템에 발생한 문제를 해결하기 위해 선택하는 한글 Windows 98의 멀티 부팅 메뉴는?,3,Logged(/BOOTLOG.TXT),Normal,Safe mode,Command prompt only,Information Technology,0.0
한글 Windows 98에서 파일을 삭제하는 방법이 아닌 것은?,4,해당 아이콘을 선택한 후 [Delete]키를 누른다.,아이콘의 오른쪽 단추를 클릭한 후 팝업 메뉴에서 삭제를 선택한다.,아이콘을 마우스로 끌어 휴지통에 넣는다.,아이콘을 선택한 후 [ESC]키를 누른다.,Information Technology,0.0
한글 Windows 98의 내 컴퓨터에서 파일이나 폴더의 아이콘을 정렬하는 방법에 해당되지 않는 것은?,1,아이콘의 모양별로 정렬 - 아이콘,파일의 크기순으로 정렬 - 크기,확장자 종류별로 정렬 - 종류,파일명순으로 정렬 - 이름,Information Technology,1.0
한글 Windows 98에서는 서로 다른 응용 프로그램 사이에 데이터를 전달할 수 있다. 한 프로그램에서 복사(Copy)나 잘라내기(Cut)한 내용을 다른 프로그램에 붙여넣기(Paste)를 통해 전달하려고 할 때의 임시 저장공간은?,3,백업(Backup),작업 관리자,클립보드(Clip Board),이미징(Imaging),Information Technology,0.0
한글 Windows 98에서 여러 개의 응용 프로그램을 실행시켜놓고 키보드를 이용하여 응용 프로그램 간에 작업 전환을 할 때 사용하는 단축키는?,1,[Alt] + [Esc]키,[Ctrl]키 + [Esc]키,[Shift]키 + [Alt]키,[Shift]키 + [Space Bar]키,Information Technology,1.0
한글 Windows 98에서 임의의 폴더 창 내에 아이콘들이 나열되어있다. 불연속적인 2개 이상의 아이콘들을 선택할 때 사용되는 방법은?,1,[Ctrl]키를 누른 상태에서 해당하는 아이콘들을 클릭한다.,[Alt]키를 누른 상태에서 해당하는 아이콘들을 클릭한다.,마우스의 오른쪽 버튼을 사용하여 해당하는 아이콘들을 클릭한다.,마우스의 양쪽 버튼을 클릭한 상태로 해당하는 아이콘을 드래그한다.,Information Technology,1.0
한글 Windows 98의 [제어판]에 있는 [프린터]에 대한 내용 중 옳지 않은 것은?,3,프린터를 설치하여 활용하고자 할 경우 이용한다.,[프린터 추가] 아이콘을 이용하여 프린터를 설치할 수 있다.,설치된 기본 프린터의 아이콘을 더블 클릭하면 현재 열려져 있는 파일이 프린트된다.,[기본프린터]에는 √표시가 되어 있다.,Information Technology,0.0
한글 Windows 98에서 실행 중인 창(Window)이나 응용프로그램을 종료시킬 때 사용하는 단축키는 무엇인가?,4,[Ctrl]+[Tab]키,[Ctrl]+[Esc]키,[Alt]키+[Tab]키,[Alt]키+[F4]키,Information Technology,0.0
OSI 모델 계층에서 전송계층의 주요 기능은?,3,동기화,노드-대-노드 전달,프로세스-대-프로세스 메시지 전달,라우팅 표의 갱신과 유지보수,Information Technology,0.0
“OSI 7 Layer 중 물리계층은 물리적인 매체를 통한 (   )를(을) 전송하는데 필요한 기능을 제공한다.” (   )안에 들어갈 적절한 단어는?,1,비트,프로그램,대화제어,프로토콜,Information Technology,1.0
"OSI 7 Layer Model 중 통신 경로의 확립이나 단절, 정보 전송 방식을 어떻게 규정할 것인가를 결정하는 Layer는?",2,Network Layer,Session Layer,Transport Layer,DataLink Layer,Information Technology,0.0
"근거리에 놓여 있는 컴퓨터와 이동단말기, 가전제품 등을 무선으로 연결하여 쌍방향으로 실시간 통신을 가능하게 해주는 규격을 말하거나 그 규격에 맞는 제품을 이르는 말은?",3,단방향 통신(Simplex),쌍방향 통신(Duplex),블루투스(Bluetooth),http(hypertext transfor protocol),Information Technology,0.0
하이퍼텍스트 문서는 무엇을 통해 링크되는가?,3,DNS,TELNET,포인터,홈페이지,Information Technology,0.0
우리나라에서 채택한 아날로그 NTSC 방식의 TV화상은 초당 몇 프레임을 사용하는가?,3,1초당 15 프레임,1초당 24 프레임,1초당 30 프레임,1초당 34 프레임,Information Technology,0.5714
CMY 모델에 대한 설명으로 거리가 가장 먼 것은?,3,"Cyan, Magenta, Yellow가 기본이 된다.",컬러모델을 나타내는 3차원 좌표축에서 원점(0.0.0)은 검은색을 나타낸다.,가산 모델(Additive Model)이라고도 한다.,인쇄 등 물감이나 잉크 등의 특성을 이용하는 곳에 유용하게 쓰인다.,Information Technology,0.0
모니터의 성능을 평가하는 요소로서 모니터 화면에 나타난 점과 점사이의 거리를 말하는 것은?,1,도트피치(dot pitch),해상도(Resolution),핀 쿠션(pin cushion),주파수(frequency),Information Technology,0.5714
IP주소 229.1.2.3이 속하는 클래스는?,4,클래스 A,클래스 B,클래스 C,클래스 D,Information Technology,0.0
48배속 CD-ROM에서의 데이터 전송속도는?,2,4800Kbps,7200Kbps,5600Kbps,12000Kbps,Information Technology,0.0
데이터를 송수신하기 위한 일련의 규칙과 포맷의 집합을 의미하는 말은?,4,패킷(Packet),블루투스(Bluetooth),이더넷(Ethernet),프로토콜(protocol),Information Technology,0.0
인터넷 기본 프로토콜(protocol; 통신규약)인 TCP/IP의 용어에 대한 영문 원어 표기로 올바른 것은?,4,Translate Control Port / Internet Port,Transmission Control Port / Internet Port,Translate Control Protocol / Internet Protocol,Transmission Control Protocol / Internet Protocol,Information Technology,0.0
국제표준화기구(ISO)에서 제정한 개방형 시스템 간 상호접속 규정인 OSI(Open Systems Interconnection) 네트워크 프로토콜(prococol) 7계층의 기능 설명으로 잘못된 것은?,3,물리계층(physical layer)은 물리적인 매체를 통하여 비트스트림을 전송하는데 필요한 기능을 제공한다.,데이터링크 계층(Data Link layer)은 물리주소를 지정한다.,전송계층(Transport layer)은 전자우편의 전달과 저장을 제공한다.,"세션계층(Session layer)은 대화를 구성하고 동기를 취하며, 데이터 교환을 관리한다.",Information Technology,0.0
IPv6(Internet Protocol ver.6)에 대한 설명으로 틀린 것은?,4,새로운 기술이나 응용분야에 의해 요구되는 프로토콜의 확장을 허용하도록 설계되었다.,"IPv6는 3개의 주소 유형 즉, 유니캐스트, 애니캐스트, 멀티캐스트로 구성되어 있다.","IPv6는 헤더가 확장되어, 패킷의 출처 인증, 데이터 무결성의 보장 및 비밀의 보장 등을 위한 메커니즘을 지정할 수 있다.",IPv6에서는 64비트로 표현되어 264개의 주소가 가능하다.,Information Technology,0.0
멀티미디어 시스템에서 사용되는 출력 장치의 종류가 아닌 것은?,4,액정 디스플레이(LCD),프로젝터(Projector),HMD(Head Mounted Display),그래픽 태블렛(Graphic Tablet),Information Technology,0.0
“IPv6(Internet Protocol ver.6)은 ( ) 비트 주소를 갖는다.” ( )안에 들어갈 숫자는?,3,32,64,128,256,Information Technology,0.6
IP 주소 4.5.6.7은 어느 클래스에 속하는가?,1,클래스 A,클래스 B,클래스 C,클래스 D,Information Technology,1.0
사운드(Sound)를 구성하는 기본 요소와 관련이 없는 것은?,2,주파수(Frequency),효과(Effect),진폭(Amplitude),음색(Tone Color),Information Technology,0.6
텍스트를 읽는 도중 연관된 자료를 연결하여 즉시 볼 수 있도록 비선형(비순차) 구조로 구현한 텍스트 데이터인 하이퍼텍스트(Hypertext) 시스템의 구성요소 중 링크의 종류가 아닌 것은?,1,탐색 링크(Navigation Link),조직 링크(Organizational Link),참조 링크(Referential Link),키워드 링크(Keyword Link),Information Technology,1.0
웹브라우저에서 직접 보여주지 못하는 사운드나 동영상 파일들을 웹상에서 구현할 수 있도록 브라우저의 기능을 확장시켜주는 프로그램은 무엇인가?,4,FTP,Cookie,HTML,Plug-in,Information Technology,0.0
멀티미디어 정보의 통신환경과 관련이 먼 것은?,3,"미디어간의 시간적, 공간적 동기화 관계를 유지할 수 있는 통신기술이 요구된다.",대용량의 데이터를 빠른 속도로 전송하기 위해서는 초고속 통신기술이 요구된다.,정보 제공자가 일방적으로 정보를 공급하는 형태가 되어야 한다.,동시에 여러 사용자 또는 시스템간의 정보 전달이 가능한 다자간 통신기능이 필요하다.,Information Technology,0.0
멀티미디어 데이터의 생성에서 최종 사용자 까지 전달되는 과정을 구분하는 방법이 아닌 것은?,1,개발 매체(Evolution medium),표현 매체(Representation medium),저장 매체(Storage medium),전송 매체(Communication medium),Information Technology,0.6667000000000001
아날로그 사운드의 원음을 그대로 반영하기 위해서는 원음이 가지는 최고 주파수의 몇 배 이상으로 표본화해야 하는가?,1,2배,3배,4배,8배,Information Technology,0.7143
세계표준화기구(ISO)에서 제정한 개방형 상호접속 시스템 모델인 OSI 모델은 몇 계층으로 구성되어 있는가?,3,3,4,7,8,Information Technology,0.5714
인터넷 주소를 구현하는 IPv4는 32bit 체계를 가진다. IPv4체제의 주소 고갈 문제를 해결하기 위해 도입한 IPv6는 몇 비트(bit) 체계를 가지는가?,2,64,128,256,512,Information Technology,0.5832999999999999
인터넷 상의 주소를 문자료 표현한 도메인(Domain)에서 정부기관을 나타내는 것은?,3,or,co,go,ac,Information Technology,0.5455
애니메이션 모션 캡처 기법에 대한 설명 중 틀린 것은?,2,모션 캡처는 인간의 움직임을 직접 캡처 움직임 정보를 3차원으로 저장한다.,자기(Magnetic)방식의 모션 캡처는 무선으로 컴퓨터에 연결되어 사용자의 행동이 자연스럽게 동작된다.,자기(Magnetic)방식의 모션 캡처는 다른 방식에 비해 조작이 쉽다.,광학 방식의 모션 캡처는 자기(Magnetic)방식에 비해 성능이 뛰어나다.,Information Technology,0.5
멀티미디어 자료를 인터넷에서 실시간으로 전송 받으면서 보거나 들을 수 있는 방식의 S/W가 아닌 것은?,3,Quick Time,Streamworks,Acrobat Reader,VDOLive,Information Technology,0.4
영상에 대한 설명으로 옳지 않은 것은?,3,움직이지 않는 컷이라도 길이가 있으면 영상이라고 할 수 있다.,YUV신호는 RGB 신호에 비해 화질 열화가 적다.,"영상의 다이나미즘을 구성하는 3요소는 속도감, 색감, 화면의 크기이다.",디지털영상은 아날로그 영상에 비해 영상물 복사가 용이하다.,Information Technology,0.631
영상미학에 대한 설명 중 옳지 않은 것은?,2,"영화적 공간의 방향성을 시청자가 인식하도록 만들어 주는 가장 기본적인 방법으로, 찍고 있는 인물을 한 쪽 방향에서 찍는 것을 180도 법칙이라 한다.",편집에서 영상의 극적 리듬과 템포를 조정할 때 가장 기본이 되는 것은 샷(Shot)의 속도와 간격을 이용한 편집 기법이다.,시선의 일치는 영화 속의 등장인물이 어느 한 곳을 바라보고 있을 때 이어지는 다음 샷(Shot)은 그 인물이 바라보고 있는 대상을 보여주는 것을 의미한다.,샷(Shot) 크기의 변화는 주로 한 인물의 행위를 서로 다른 크기의 샷들로 분할해서 연결할 때 사용하는 방법을 의미한다.,Information Technology,0.4143
디지털 파일의 종류 및 그에 대한 설명으로 옳지 않은 것은?,4,MPEG-4는 128Kbps 이하의 저속 통신망에 서부터 초고속 통신망까지 폭 넓게 적용되므로 실시간 영상 서비스가 가능하다.,MPEG-4는 화상회의를 위해 적합한 압축형태를 제공하고 있다.,MPEG-4는 멀티미디어 데이터를 객체별로 독립적이며 유연성 있게 부호화할 수 있도록 1998년 표준화한 규격이다.,"MPEG-4는 MPEG-1, MPEG-2 보다 압축률이 낮아 인터넷 방송 분야에서 사용하기에는 문제가 있지만, 화질이 좋아 다양한 분야에서의 활용이 확대되고 있다.",Information Technology,0.6667000000000001
아날로그 영상신호인 RGB 4:4:4의 설명으로 옳지 않은 것은?,1,RGB 세 개의 케이블은 60암페어의 동축 케이블로 길이는 각기 달라도 상관없다.,"주로 방송용 비디오카메라의 조정, 크로마키 합성, 모니터링 등 일부 영역을 제외하면 실용성, 경제성이 떨어진다.",1차원적인 컴포넌트 신호로 3원색인 RGB는 서로 완벽하게 분리되어 있어 고화질 영상처리를 한다.,TV 수상기의 튜너 구조가 매우 복잡해져 컴포지트 영상신호에 비해 현실적으로 많은 문제가 있다.,Information Technology,0.5417000000000001
영상미학에 대한 설명으로 옳지 않은 것은?,3,영상미학의 기본 목적은 어떠한 상황이나 사건을 명료화시키고 강조하여 관객의 이해를 돕는 것이다.,영상미학을 다루는 미디어는 단순한 메시지를 전달하는 것뿐만 아니라 미학적 메시지를 전달하는데 없어서는 안 될 중요한 매체가 되었다.,"영상의 기본적인 미학적 5가지 구성요소는 빛, 색상, 소리, 시간, 공간이다.","영상미학은 단순히 아름다움이나 미학에 치중하기보다는 빛, 공간, 시간, 동작, 음향과 같은 여러 가지 미학적 요소들과 이에 대한 인간의 지각적 반응을 다루는 것이다.",Information Technology,0.5424
영상의 단위를 크기순으로 나열한 것으로 옳은 것은?,4,샷(Shot) → 시퀀스(Sequence) → 씬(Scene) → 무비(Movie),씬(Scene) → 샷(Shot) → 시퀀스(Sequence) → 무비(Movie),씬(Scene) → 시퀀스(Sequence) → 샷(Shot) → 무비(Movie),샷(Shot) → 씬(Scene) → 시퀀스(Sequence) → 무비(Movie),Information Technology,0.7
편집을 결정하는 기본 요소가 아닌 것은?,1,샷의 색감,샷의 내용,샷의 길이,샷의 배열,Information Technology,0.6829000000000001
"레디우스(Radius)사가 개발한 비디오 압축 코덱으로, 멀티미디어 CD-ROM 동영상에 주로 많이 사용되는 코덱은 어느 것인가?",2,RLE,Cinepak,Indio,MOV,Information Technology,0.5313
VCD(Video CD)에 사용되는 표준 비디오 포맷을 말하는 파일은 어느 것인가?,2,RM 파일,DAT 파일,VOB파일,MOV 파일,Information Technology,0.4667
화면 속 두 인물이 마주보고 이야기 할 때 오버숄더 샷(Over the Shoulder Shot)에서 배경의 한 사람만 화면에 보여주는 샷(Shot)은?,1,크로스 샷 (XS : Cross Shot),업 샷 (Up Shot),투 샷 (Two Shot),롱 샷 (Long Shot),Information Technology,0.8421
화면 속 인물의 시선방향으로 빈 공간을 설정하여 화면에 방향성과 기대감을 주는 촬영의 고려사항이 아닌 것은?,3,아이 룸 (Eye Room),노즈 룸 (Nose Room),헤드 룸 (Head Room),룩킹 룸 (Looking Room),Information Technology,0.5789
이미지(IMAGE)라는 용어를 저서 ʻPublic Opinionʼi에서 처음으로 사용한 사람은?,3,D.W. 그리피스(David Llewelyn Wark Griffith),세르게이 에이젠슈타인(Sergei Eisenstein),월터 리프만(Walter Lippman),조르쥬 멜리에스(Georges Melies),Information Technology,0.6111
DVD에서 사용하는 동영상 파일의 포맷은?,1,VOB,MOV,AVI,FLV,Information Technology,0.8649
DV카메라의 압축방식으로 가장 많이 사용되는 코덱은?,3,DIVX,CINEPAK,DV코덱,AC3,Information Technology,0.8529000000000001
"고화질 압축 유무선 전송을 위한 DMB Video 표준코덱으로, IPTVㆍI디지털 TVㆍV위성 DMB등 방송, HD 캠코더에 사용되는 코덱은?",3,Quick Time,CINEPAK,H.264,ASF,Information Technology,0.6667000000000001
"DVD, 블루레이 디스크, 플래시 메모리 카드등 다양한 기억 장치를 지원하는 HD 영상 녹화용 포맷은?",3,MP4,CINEPAK,AVCHD,AC3,Information Technology,0.5161
아날로그 영상신호인 RGB 4:4:4의 설명중 틀린 것은?,4,1차원적인 컴포넌트 신호로 3원색인 RGB는 서로 완벽히 분리되어 있어 고화질 영상처리를 한다.,"주로 방송용 비디오카메라의 조정, 크로마키 합성, 모니터링 등 일부 영역을 제외하면 실용성, 경제성이 떨어진다.",RGB 세 개의 케이블은 75암페어의 동축 케이블로 반드시 동일한 길이여야 한다.,TV 수상기의 튜너 구조가 매우 단순해져 컴포지트 영상신호에 비해 현실적인 문제가 발생하지 않는다.,Information Technology,0.5128
디지털영상에 관한 설명중 틀린 것은?,1,특정 기술에 따라서 표출된 주관적인 대상이다.,영화나 텔레비전의 화상을 이야기 하는 것이다.,머릿속에 떠오르는 사물의 모습이나 이미지를 말한다.,광선의 굴절이나 반사에 따라 비추어지는 물체의 모습을 일컫는다.,Information Technology,0.4865
인텔사가 개발한 비디오 압축 코덱으로 멀티미디어 CD-ROM 동영상에 주로 많이 사용되는 코덱은 어느 것인가?,3,FLV,RM,Indio,MOV,Information Technology,0.4545
이메일 보안기술 중 하나인 PGP(Pretty Good Privacy)에 대한 설명이 아닌 것은?,2,개인이 개발한 보안기술이다.,전자우편의 수신부인 방지를 지원한다.,기밀성과 무결성 등을 지원한다.,RSA와 IDEA 등의 암호화 알고리즘을 사용한다.,Information Technology,0.4286
데이터 암호를 위한 공개 Key 알고리즘에 속하는 것은?,3,DES,SEED,RSA,RCA,Information Technology,0.5
악성코드(프로그램) 중 인터넷 또는 네트워크를 통해서 컴퓨터에서 컴퓨터로 전파되는 프로그램으로 다른 컴퓨터의 취약점을 이용하여 스스로 자신을 복제해서 전파되거나 메일로 전파되는 것은?,2,디도스,웜,백도어,트로이 목마,Information Technology,0.4286
모바일 TV 미디어와 관련이 없는 것은?,1,MMS,DMB,DVB-H,Media FLO,Information Technology,0.6667000000000001
하이퍼미디어를 구성하는 기본적인 구성 요소가 아닌 것은?,1,리스트,링크,앵커,노드,Information Technology,0.625
IP 주소 190.0.46.201의 기본 마스크는?,2,255.0.0.0,255.255.0.0,255.255.255.0,255.255.255.255,Information Technology,0.5
LAN 관련 프로토콜 중 CSMA/CD에 대한 프로토콜은?,4,IEEE 802.9,IEEE 802.6,IEEE 802.5,IEEE 802.3,Information Technology,0.5
UNIX 시스템의 구성요소가 아니 것은?,3,Shell,Kernel,Input,Utility,Information Technology,0.4375
FTP에 관한 설명이 아닌 것은?,4,Anonymous FTP는 계정이 없어도 접속이 가능하다.,File Transfer Protocol의 약자이다.,컴퓨터 간의 파일 송/수신이 가능하다.,FTP의 기본 포트번호는 23번이다.,Information Technology,0.6
WCDMA 방식에 대한 설명으로 맞는 것은?,3,동선 가입자 선로를 대체할 수 있는 무선 전송방식이다.,GPS로 기지국간 시간동기를 맞추어 전송한다.,전 세계적으로 2GHz대역의 주파수를 사용하고 있다.,CATV 전송 및 광대역 가입자망 구축을 위한 전송방식이다.,Information Technology,0.3846
UNIX 환경에서 할 수 있는 계정 보안 방법으로 거리가 먼 것은?,3,root 계정은 /etc/security 설정 파일을 통해 접속 제한,"PAM 모듈을 이용 특정사용자, 그룹, 특정 시간대에 로그인 설정",스니핑을 방지하기 위해 서브 네트워크를 나누고 각각 스위칭 허브로 연결,사용자 패스워드의 은닉을 위해 shadow 패스워드를 사용,Information Technology,0.6111
"포트번호가 443이며, 넷스케이프사에서 개발한 보안 프로토콜은?",2,IPsec(Internet Protocol Security),SSL(Secure Socket Layer),RDP(Remote Desktop Protocol),L2TP(Layer 2 Tunneling Protocol),Information Technology,0.5882000000000001
디지털 네트워크상에서 멀티미디어에 관련된 종합적인 프레임 워크를 제공하는 기술은?,4,MPEG-3,MPEG-10,MPEG-5,MPEG-21,Information Technology,0.6875
IP(Internet Protocol) 주소 241.1.2.3에 대한 설명으로 맞는 것은?,2,netid는 241이다.,클래스(class)는 E 이다.,hostid는 1.2.3 이다.,서브넷 마스크는 0.0.0.0 이다.,Information Technology,0.5556
UNIX 시스템에서 서버에 현제 login한 사용자의 정보를 알 수 있게 해주는 명령어는?,3,ping,ftp,finger,rlogin,Information Technology,0.6
TCP(Transmission Control Protocol) 세션 설정과인 “쓰리웨이 핸드쉐이킹”의 취약점을 이용한 공격은?,2,Smurf,SYN Flooding,Teardrop,Ping of Death,Information Technology,0.5882000000000001
1인치당 픽셀의 수를 나타내는 단위는?,3,DPI,EPI,PPI,LPI,Information Technology,0.5556
화면의 밝기가 변화할 때 화면의 고휘도 부분에서 색이 적절치 않게 재생되는 현상은?,3,휘도 직선,색도 비직선,미분위상,고휘도 비직선,Information Technology,0.6842
Dos(Denial of service) 공격 방법이 아닌 것은?,4,메시지 과잉,서비스 과부하,접속 방해,패킷 필터링,Information Technology,0.6111
32배속 CD-ROM의 데이터 전송 속도는?,4,150Kbps,600Kbps,1.2Mbps,4.8Mbps,Information Technology,0.5
파형 코딩 방법 중 연속된 샘플의 값들 사이의 차이만을 인코딩하고 저장함으로써 압축을 하는 방식으로 ITU-T의 음성 압축 표준인 G.72X의 핵심 기법인 코딩 방법은?,4,PM(Phase Modulation),PCM(Pulse Code Modulation,AM(Amplitude Modulation),ADPCM(Adaptive Differential Pulse Code Modulation),Information Technology,0.6315999999999999
EIA의 표준화에서 나온 일반적인 인터페이스 표준으로 컴퓨터 및 대부분의 통신기기에 부착되는 직렬 전송 방식은?,1,RS-232C,ISO1177,X.27,V.28,Information Technology,0.8571
“인터넷에 연결된 사람들과 문자로 실시간 대화할 수 있는 서비스 기능으로 최근에는 인터넷폰과 비디오폰이 실용화되면서 음성이나 실시간 영상까지 제공할 수 있다.”로 표현되는 인터넷의 기능은?,3,E-mail,FTP,IRC,VR,Information Technology,0.6
"신뢰성 있는 통신을 위하여 최초 접속 시 3-way handshake를 수행하여 syn, syn＋ack, ack 신호를 통한 정확성 있는 통신에 이용되는 프로토콜은?",2,HTTP,TCP,UDP,IP,Information Technology,0.5625
인터넷에서 네트워크의 관리정보를 교환하는데 사용되는 프로토콜은?,4,IGMP(Internet Group Management Protocol),ICMP(Internet Control Message Protocol),SMTP(Simple Mail Transfer Protocol),SMNP(Simple Network Management Protocol),Information Technology,0.5294
오디오 콘솔의 기능 중 마이크 입력에서 들어오는 미약한 신호를 증폭하기 위한 기기는?,1,pre-amplifier,post-amplifier,mid-amplifier,re-amplifier,Information Technology,0.8571
"UNIX에서 파일에 대한 읽기, 쓰기, 실행 접근 권한을 변경하는 명령어는?",2,chprv,chmod,chass,chown,Information Technology,0.875
연속적인 아날로그 신호를 PAM 신호로 바꾸는 과정에서 발생되는 오차를 무엇이라 하는가?,3,절단 오차,시그널 오차,반올림 오차,앨리어싱 오차,Information Technology,0.4545
3차원 그래픽용 파일포맷이 아닌 것은?,2,3DS,PCX,DXF,WRL,Information Technology,0.5714
PCM 방식에서 표본화 주파수가 8KHz라 하면 이때 표본화 주기는?,2,170 [μs],125 [μs],100 [μs],8 [μs],Information Technology,0.7143
2D 그래픽에서 점진적으로 색을 변화시켜 가며 특정 구역 안에 색을 칠해주는 기법은?,2,Dithering,Gradation,Raster scan,Mosaic,Information Technology,0.75
"디지털 신호의 전달 과정에서 일어나는 시간축 상의 오차, 즉 신호가 지연되어 전달되지 못해 발생하는 신호의 왜곡은?",2,클리핑(Clipping),지터(Jitter),디더링(dithering),노이즈(Noise),Information Technology,0.75
벡터 방식의 파일 포맷 확장자가 아닌 것은 ?,1,TIFF,WMF,AI,CDR,Information Technology,0.8571
7.1 채널의 홈시어터에서 0.1 채널을 제공하는 스피커는?,2,중앙스피커,서브우퍼,좌측스피커,우측 스피커,Information Technology,0.6667000000000001
"비선형적 그래프 구조를 가지며, 각 노드들이 텍스트의 작은 덩어리로 연결되는 것은?",3,마크업 텍스트,ISO 문자 집합,하이퍼텍스트,구조적 텍스트,Information Technology,0.75
CRT 모니터에 대한 설명 중 활성화율(Refresh Rate)에 대하여 가장 적절하게 설명한 것은?,2,단위 영역 당 픽셀의 개수를 나타내는 비율이다.,초당 화면이 몇 번 칠해지는가를 나타내는 회수이다.,편광판에 가해지는 전압의 크기를 나타낸다.,전자빔이 특정 위치의 형광물질에 도달되는 회수를 나타낸다.,Information Technology,0.6667000000000001
OSI(open systems interconnection; 개방형 시스템 간 상호접속) 7 Layer의 1계층에서 수행하는 역할로 옳은 것은?,3,"회선제어, 동기제어, 착오제어와 같은 전송제어 수행",상위계층에서 virtual circuit 또는 datagram 서비스 제공,실제의 물리적인 전송 매체를 통해 비트스트림을 전송,두 개의 응용 프로세스 사이의 대화 기능을 담당하는 기능을 제공,Information Technology,0.6364
미국전기전자학회(IEEE; Institute of Electrical and Electronics Engineers)에서 표준화한 무선 통신기기 간의 가까운 거리에서 낮은 전력을 이용한 통신 표준인 블루투스(Bluetooth)의 채널제어 모드가 아닌 것은?,3,대기모드,질의모드,실행모드,페이지모드,Information Technology,0.6
"근거리 무선통신 규격(IEEE802.15. 4)을 기반으로 하여 블루투스의 저속 버전이라고도 불리며, 대규모 센서 네트워크를 구성할 수 있는 무선통신 기술은?",4,RFID,Wi-Fi,WLAN,ZigBee,Information Technology,0.6
네트워크에 오픈된 컴퓨터에 악성코드를 몰래 심어 둔 후 특정 서버에 과도한 트래픽을 발생하게 하여 해당 서버가 정상적인 서비스를 하지 못하도록 방해하는 서비스거부공격(DoS; Denial of Service)과 관련이 가장 적은 것은?,1,Trojan Attack,Smurf Attack,Land Attack,Fraggle Attack,Information Technology,0.9
개인 PC 보안을 위한 방법으로 적합하지 않은 것은?,4,개인 방화벽을 설정한다.,특수문자와 숫자를 포함한 8자이상의 암호를 사용한다.,보안 패치 관리를 위해 자동 업데이트를 설정한다.,Guest 계정을 활성화 한다.,Information Technology,0.7
IP주소 191.1.2.3 은 어느 클래스에 속하는가?,2,클래스A,클래스B,클래스C,클래스D,Information Technology,0.5556
디지털 텔레비전의 변환기에 입력되는 디지털 영상데이터를 수평 동기신호와 수직 동기신호로 분리하여 수평 및 수직 출력단에 출력시키는 기능을 하는 것은?,4,디지털 영상 처리 회로부,RGB 매트릭스와 D/A 변환기,음성 처리 회로부,편향 처리 회로부,Information Technology,0.5556
텍스트(Text)에서 사용하는 용어 중 각 글자의 문자 메트릭과 글자 쌍의 자각 조정을 의미하는 것은?,3,세리프(serif),레딩(leading),커닝(Kerning),랜섬노트(rasom-note),Information Technology,0.5
인터넷에 연결된 일련의 시스템들을 이용해 단일 사이트에 대한 플러드 공격(Flood Attack)을 시도하는 것을 무엇이라 하는가?,1,DDoS,Teardrop,Worm,Crack,Information Technology,1.0
파일 전송 통신규약인 FTP(File Transfer Protocol)의 파일 전송 모드가 아닌 것은?,4,스트림 모드,블록 모드,압축모드,페이지 모드,Information Technology,0.5714
IP(Inter Protocol) 169.5.255.255는 어느 주소에 속하는가?,2,호스트 IP주소,직접 브로드캐스트 주소,네트워크 주소,제한된 브로드캐스트 주소,Information Technology,0.5
